file_name,speaker,usability,xds,interval_start,interval_end,pitch_min,pitch_max,pitch_mean,pitch_sd,F0_00,F0_05,F0_10,F0_15,F0_20,F0_25,F0_30,F0_35,F0_40,F0_45,F0_50,F0_55,F0_60,F0_65,F0_70,F0_75,F0_80,F0_85,F0_90,F0_95,F0_100
85_20210120,FA1,0.,C,96.866,98.743,198.1355484062279 Hz,411.37388146566207 Hz,338.85144497871704 Hz,73.59891385410508 Hz,--undefined--,203.26031403444318,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,408.0407783095053,401.81760856327134,356.8639705934279,404.09849037042954,343.3167365072664,305.9357874590663,--undefined--,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,,101.867,103.01,223.28401655411142 Hz,285.60979254347257 Hz,241.87253016460852 Hz,16.51134463105964 Hz,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,236.64449919180836,253.6303649182798,259.55872496535915,--undefined--,256.6177817176785,278.77143866766323,260.46553198551294,250.0126081594258,235.87871224816843,228.94912830718053,227.15579293967266,225.04947480022622,225.99297545429454,224.02401806571572,229.26708950361282,--undefined--,
85_20210120,FA1,0.,,105.67,106.29,87.51721454216668 Hz,209.74236797224276 Hz,123.3795448132488 Hz,39.72739284727072 Hz,--undefined--,197.42373479689903,99.85383656928902,102.75204045064066,103.80779179029453,105.0013261928825,101.08919972911941,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,106.905,107.715,101.94259305245151 Hz,510.1342967548641 Hz,311.9349636656029 Hz,115.29191485660807 Hz,--undefined--,--undefined--,--undefined--,362.17021655760345,364.05894965588146,365.5316345509638,382.36019889218085,395.71165685899564,397.02426442473757,389.19742331974015,191.3488814791156,186.90646362983333,184.80923110230842,176.682873404238,176.07848637875637,--undefined--,117.79697765046093,298.2595011487899,435.72249715886267,475.3502804081654,--undefined--,
85_20210120,FA1,0.,C,108.744,110.125,195.79392059436975 Hz,501.528292545945 Hz,327.8222478115114 Hz,108.92812712966285 Hz,--undefined--,501.0564663382533,--undefined--,--undefined--,230.4289488275999,214.95415190420897,227.28595324201277,320.1932759484226,439.18974601072244,432.98784442553284,307.9610722331871,223.19990875414695,195.99229269709278,212.53732567517906,253.68282321779085,321.5334322321084,458.85301473140106,466.9237259120362,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,112.11,113.65,101.64319426542005 Hz,489.68251172190986 Hz,267.27876295902445 Hz,133.8900923523426 Hz,--undefined--,--undefined--,145.18619882737858,351.2761420780969,393.38879288575936,--undefined--,385.6396957615116,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,124.77847213138658,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,,114.346,115.515,98.95078759689035 Hz,633.9383968082863 Hz,229.53524210906986 Hz,188.46564183233096 Hz,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,595.0440601427738,--undefined--,--undefined--,--undefined--,586.2561926598961,--undefined--,--undefined--,125.86940035188252,100.05423242033879,159.68441587625819,112.85509505366295,101.1663493448488,103.6498845357721,121.76934001354566,121.35291821558783,--undefined--,
85_20210120,FA1,0.,C,116.54,117.24,100.2435405426367 Hz,495.31308027961757 Hz,299.6450913914171 Hz,145.22279651553484 Hz,--undefined--,146.9969072379307,144.00361068719823,144.67714041660238,139.92887449435085,103.06845656042054,--undefined--,391.80907779305477,393.2555360929774,389.6032837829303,365.40287533737626,--undefined--,--undefined--,440.97828067684424,458.273121713882,494.5231429900571,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,118.857,122.632,88.20682715211262 Hz,246.89344763710824 Hz,152.29055519553432 Hz,34.21212804185759 Hz,--undefined--,--undefined--,129.0953749740567,--undefined--,--undefined--,118.30896764261223,--undefined--,--undefined--,--undefined--,164.6009911844587,181.64836140065108,166.49879419282834,119.85118442488083,182.7811583654648,124.03672217430541,--undefined--,200.72025121460493,100.98244251221439,112.50639379177406,--undefined--,--undefined--,
85_20210120,FA1,0.,C,123.063,123.441,136.08717557094354 Hz,197.58532401514043 Hz,164.2666544855117 Hz,21.58750656762753 Hz,--undefined--,--undefined--,--undefined--,--undefined--,195.60959280694928,185.23316443632118,181.13535692019894,178.48885979812925,180.4563388037885,182.00615058195348,177.56506952538643,152.83189747793983,140.3390145056758,142.68090525012514,147.15713860423688,142.7837329498868,139.89214569405937,136.7818466579398,--undefined--,--undefined--,--undefined--,
